seq	term
c466527_g1	"Lipid transport and metabolism"
c468886_g7	"NA"
c478392_g1	"Signal transduction mechanisms"
c451700_g1	"Lipid transport and metabolism"
c463852_g1	"Cytoskeleton"
c477549_g1	"Signal transduction mechanisms"
c466400_g3	"Signal transduction mechanisms"
c473025_g1	"Posttranslational modification, protein turnover, chaperones"
c475292_g2	"Energy production and conversion"
c456962_g1	"Signal transduction mechanisms"
c453587_g1	"Signal transduction mechanisms"
c471618_g12	"Signal transduction mechanisms"
c480993_g1	"Carbohydrate transport and metabolism"
c465768_g1	"RNA processing and modification"
c461672_g3	"Replication, recombination and repair"
c477635_g2	"Cytoskeleton"
c457817_g1	"Signal transduction mechanisms"
c474360_g1	"Signal transduction mechanisms"
c472321_g2	"Replication, recombination and repair"
c471315_g1	"Amino acid transport and metabolism"
c469199_g1	"Energy production and conversion"
c479889_g5	"Chromatin structure and dynamics"
c475400_g1	"NA"
c471591_g1	"Signal transduction mechanisms"
c475878_g5	"Chromatin structure and dynamics"
c447810_g2	"Carbohydrate transport and metabolism"
c478794_g2	"Amino acid transport and metabolism"
c477927_g2	"NA"
c473655_g1	"Posttranslational modification, protein turnover, chaperones"
c473565_g4	"NA"
c454358_g1	"Extracellular structures"
c64444_g1	"NA"
c465113_g1	"Transcription"
c449428_g1	"Posttranslational modification, protein turnover, chaperones"
c459902_g1	"Translation, ribosomal structure and biogenesis"
c480024_g1	"NA"
c460946_g1	"NA"
c468889_g1	"Signal transduction mechanisms"
c82376_g1	"Lipid transport and metabolism"
c480592_g8	"Posttranslational modification, protein turnover, chaperones"
c476453_g2	"Lipid transport and metabolism"
c449551_g4	"Extracellular structures"
c478814_g2	"Replication, recombination and repair"
c480761_g2	"Replication, recombination and repair"
c474682_g1	"Signal transduction mechanisms"
c422353_g1	"Translation, ribosomal structure and biogenesis"
c464568_g1	"Carbohydrate transport and metabolism"
c464188_g3	"Amino acid transport and metabolism"
c476949_g1	"NA"
c333841_g1	"Posttranslational modification, protein turnover, chaperones"
c478752_g5	"NA"
c457988_g1	"Chromatin structure and dynamics"
c472339_g3	"RNA processing and modification"
c469117_g1	"Signal transduction mechanisms"
c472445_g2	"Inorganic ion transport and metabolism"
c474304_g1	"Signal transduction mechanisms"
c470474_g1	"Replication, recombination and repair"
c399127_g1	"Intracellular trafficking, secretion, and vesicular transport"
c479587_g2	"Replication, recombination and repair"
c461609_g2	"Transcription"
c459296_g1	"Intracellular trafficking, secretion, and vesicular transport"
c419759_g1	"Replication, recombination and repair"
c404829_g1	"Translation, ribosomal structure and biogenesis"
c467347_g1	"Lipid transport and metabolism"
c471079_g1	"Signal transduction mechanisms"
c450960_g1	"Energy production and conversion"
c453327_g1	"Lipid transport and metabolism"
c478363_g1	"Amino acid transport and metabolism"
c446636_g1	"Intracellular trafficking, secretion, and vesicular transport"
c422418_g1	"Signal transduction mechanisms"
c452948_g2	"NA"
c470326_g2	"Posttranslational modification, protein turnover, chaperones"
c425359_g1	"Energy production and conversion"
c451308_g1	"Replication, recombination and repair"
c418929_g1	"NA"
c475606_g1	"Transcription"
c470809_g1	"Posttranslational modification, protein turnover, chaperones"
c478406_g2	"Signal transduction mechanisms"
c445363_g1	"Carbohydrate transport and metabolism"
c452331_g1	"NA"
c474233_g1	"Cell cycle control, cell division, chromosome partitioning"
c478183_g1	"Posttranslational modification, protein turnover, chaperones"
c466462_g1	"Signal transduction mechanisms"
c465362_g2	"Chromatin structure and dynamics"
c471419_g8	"NA"
c481116_g1	"Lipid transport and metabolism"
c462713_g1	"Posttranslational modification, protein turnover, chaperones"
c480063_g4	"Energy production and conversion"
c480790_g1	"NA"
c479659_g4	"Replication, recombination and repair"
c478183_g1	"Posttranslational modification, protein turnover, chaperones"
c446522_g1	"NA"
c455290_g1	"Carbohydrate transport and metabolism"
c417213_g1	"Amino acid transport and metabolism"
c473497_g1	"Carbohydrate transport and metabolism"
c442210_g1	"Posttranslational modification, protein turnover, chaperones"
c338025_g1	"Translation, ribosomal structure and biogenesis"
c480516_g1	"NA"
c464623_g1	"Replication, recombination and repair"
c480480_g3	"Intracellular trafficking, secretion, and vesicular transport"
c365531_g1	"Signal transduction mechanisms"
c418711_g1	"Carbohydrate transport and metabolism"
c480092_g2	"NA"
c471973_g8	"Replication, recombination and repair"
c467368_g4	"Carbohydrate transport and metabolism"
c463198_g1	"Inorganic ion transport and metabolism"
c455299_g3	"Energy production and conversion"
c460495_g1	"Replication, recombination and repair"
c339472_g1	"NA"
c467583_g2	"NA"
c444304_g1	"Posttranslational modification, protein turnover, chaperones"
c477874_g1	"Nucleotide transport and metabolism"
c472428_g1	"Chromatin structure and dynamics"
c468534_g15	"NA"
c420993_g1	"Translation, ribosomal structure and biogenesis"
c465010_g1	"Posttranslational modification, protein turnover, chaperones"
c449260_g1	"Signal transduction mechanisms"
c477641_g4	"Signal transduction mechanisms"
c472339_g3	"RNA processing and modification"
c472195_g1	"Nucleotide transport and metabolism"
c474509_g2	"Signal transduction mechanisms"
c481370_g1	"Replication, recombination and repair"
c466360_g1	"Amino acid transport and metabolism"
c452663_g1	"RNA processing and modification"
c454770_g2	"Signal transduction mechanisms"
c449532_g1	"Posttranslational modification, protein turnover, chaperones"
c471558_g1	"Signal transduction mechanisms"
c465553_g1	"Translation, ribosomal structure and biogenesis"
c17254_g1	"Energy production and conversion"
c427053_g1	"Energy production and conversion"
c464230_g1	"Replication, recombination and repair"
c434650_g1	"Transcription"
c481178_g1	"NA"
c500841_g1	"Amino acid transport and metabolism"
c462418_g3	"Amino acid transport and metabolism"
c461710_g1	"Lipid transport and metabolism"
c1050494_g1	"Transcription"
c473501_g5	"Energy production and conversion"
c441493_g1	"Transcription"
c465629_g3	"Translation, ribosomal structure and biogenesis"
c472591_g2	"NA"
c478667_g1	"Replication, recombination and repair"
c479831_g5	"Transcription"
c436729_g2	"RNA processing and modification"
c461474_g2	"RNA processing and modification"
c470908_g2	"Energy production and conversion"
c413266_g1	"Posttranslational modification, protein turnover, chaperones"
c397371_g1	"Signal transduction mechanisms"
c477254_g1	"Replication, recombination and repair"
c467537_g6	"Amino acid transport and metabolism"
c449617_g1	"Nucleotide transport and metabolism"
c454599_g1	"Extracellular structures"
c448826_g1	"Replication, recombination and repair"
c447991_g1	"Transcription"
c447810_g2	"Carbohydrate transport and metabolism"
c427870_g1	"Transcription"
c471973_g8	"NA"
c456702_g1	"Posttranslational modification, protein turnover, chaperones"
c479833_g5	"Translation, ribosomal structure and biogenesis"
c337668_g1	"Intracellular trafficking, secretion, and vesicular transport"
c480652_g1	"Signal transduction mechanisms"
c480119_g3	"Energy production and conversion"
c465511_g1	"Lipid transport and metabolism"
c480528_g1	"Posttranslational modification, protein turnover, chaperones"
c459237_g1	"Lipid transport and metabolism"
c479065_g2	"NA"
c420946_g1	"Cytoskeleton"
c474766_g4	"Replication, recombination and repair"
c477047_g12	"Replication, recombination and repair"
c465728_g1	"Posttranslational modification, protein turnover, chaperones"
c411314_g2	"Intracellular trafficking, secretion, and vesicular transport"
c479531_g2	"Posttranslational modification, protein turnover, chaperones"
c475770_g2	"Nucleotide transport and metabolism"
c475606_g1	"Transcription"
c481107_g2	"NA"
c434179_g2	"NA"
c477187_g1	"RNA processing and modification"
c475941_g1	"Lipid transport and metabolism"
c460607_g2	"Intracellular trafficking, secretion, and vesicular transport"
c457695_g1	"Inorganic ion transport and metabolism"
c472494_g2	"Carbohydrate transport and metabolism"
c470020_g5	"Cell cycle control, cell division, chromosome partitioning"
c474952_g2	"Posttranslational modification, protein turnover, chaperones"
c472671_g2	"Intracellular trafficking, secretion, and vesicular transport"
c449533_g1	"Amino acid transport and metabolism"
c147931_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c472281_g2	"Translation, ribosomal structure and biogenesis"
c450792_g1	"Signal transduction mechanisms"
c1187552_g1	"Transcription"
c466823_g1	"Translation, ribosomal structure and biogenesis"
c300467_g1	"Intracellular trafficking, secretion, and vesicular transport"
c478654_g5	"Chromatin structure and dynamics"
c468190_g1	"Transcription"
c432603_g1	"Signal transduction mechanisms"
c473655_g1	"Posttranslational modification, protein turnover, chaperones"
c458560_g1	"Extracellular structures"
c442452_g1	"Amino acid transport and metabolism"
c345236_g1	"Signal transduction mechanisms"
c472647_g1	"Intracellular trafficking, secretion, and vesicular transport"
c475735_g1	"Posttranslational modification, protein turnover, chaperones"
c459012_g3	"NA"
c456625_g2	"Signal transduction mechanisms"
c467845_g3	"Translation, ribosomal structure and biogenesis"
c476180_g3	"Replication, recombination and repair"
c456112_g1	"Carbohydrate transport and metabolism"
c477119_g1	"Cell wall/membrane/envelope biogenesis"
c476005_g4	"Signal transduction mechanisms"
c468006_g2	"Secondary metabolites biosynthesis, transport and catabolism"
c471980_g1	"Replication, recombination and repair"
c462276_g1	"Intracellular trafficking, secretion, and vesicular transport"
c464168_g11	"Replication, recombination and repair"
c451464_g1	"Replication, recombination and repair"
c437002_g1	"NA"
c460535_g2	"Cytoskeleton"
c447659_g1	"NA"
c403812_g1	"Posttranslational modification, protein turnover, chaperones"
c411355_g1	"Carbohydrate transport and metabolism"
c372514_g1	"Translation, ribosomal structure and biogenesis"
c464352_g1	"Intracellular trafficking, secretion, and vesicular transport"
c480180_g1	"Replication, recombination and repair"
c461773_g1	"RNA processing and modification"
c453987_g2	"Signal transduction mechanisms"
c475340_g4	"Amino acid transport and metabolism"
c479749_g3	"Amino acid transport and metabolism"
c450650_g1	"Posttranslational modification, protein turnover, chaperones"
c391894_g1	"Transcription"
c462855_g1	"Signal transduction mechanisms"
c479634_g2	"Transcription"
c479488_g2	"Signal transduction mechanisms"
c480973_g1	"Replication, recombination and repair"
c478043_g2	"Posttranslational modification, protein turnover, chaperones"
c453782_g1	"Signal transduction mechanisms"
c448418_g1	"NA"
c476474_g7	"NA"
c455089_g1	"Energy production and conversion"
c471208_g3	"Replication, recombination and repair"
c471806_g1	"Amino acid transport and metabolism"
c405212_g1	"RNA processing and modification"
c455983_g1	"RNA processing and modification"
c451543_g1	"Defense mechanisms"
c475400_g1	"NA"
c469901_g3	"Replication, recombination and repair"
c472991_g2	"NA"
c478078_g6	"NA"
c444703_g2	"Carbohydrate transport and metabolism"
c470230_g1	"Coenzyme transport and metabolism"
c413533_g1	"Signal transduction mechanisms"
c477485_g4	"NA"
c342562_g1	"NA"
c414155_g1	"Intracellular trafficking, secretion, and vesicular transport"
c450349_g2	"NA"
c471558_g1	"Signal transduction mechanisms"
c454682_g1	"Amino acid transport and metabolism"
c458092_g1	"Signal transduction mechanisms"
c472773_g1	"Transcription"
c438136_g1	"Posttranslational modification, protein turnover, chaperones"
c447873_g1	"Transcription"
c480595_g3	"Replication, recombination and repair"
c472420_g1	"Lipid transport and metabolism"
c469185_g2	"Posttranslational modification, protein turnover, chaperones"
c448895_g1	"Translation, ribosomal structure and biogenesis"
c468643_g1	"Posttranslational modification, protein turnover, chaperones"
c478714_g2	"Signal transduction mechanisms"
c386541_g2	"NA"
c469642_g1	"NA"
c452236_g5	"Intracellular trafficking, secretion, and vesicular transport"
c459790_g1	"Amino acid transport and metabolism"
c456489_g1	"Intracellular trafficking, secretion, and vesicular transport"
c407558_g1	"Transcription"
c479629_g2	"NA"
c442024_g1	"Posttranslational modification, protein turnover, chaperones"
c464518_g2	"Amino acid transport and metabolism"
c60320_g1	"Carbohydrate transport and metabolism"
c478331_g1	"NA"
c462395_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c478863_g2	"Posttranslational modification, protein turnover, chaperones"
c457234_g1	"Replication, recombination and repair"
c452308_g1	"Energy production and conversion"
c480678_g2	"NA"
c473655_g1	"Posttranslational modification, protein turnover, chaperones"
c479939_g7	"Cytoskeleton"
c82739_g1	"Signal transduction mechanisms"
c481194_g1	"Amino acid transport and metabolism"
c367306_g1	"NA"
c469930_g2	"Posttranslational modification, protein turnover, chaperones"
c479270_g2	"Replication, recombination and repair"
c469421_g1	"NA"
c452068_g1	"Replication, recombination and repair"
c436183_g2	"Energy production and conversion"
c480385_g5	"Posttranslational modification, protein turnover, chaperones"
c59951_g1	"Posttranslational modification, protein turnover, chaperones"
c464642_g2	"Posttranslational modification, protein turnover, chaperones"
c478183_g1	"Posttranslational modification, protein turnover, chaperones"
c331291_g1	"Lipid transport and metabolism"
c476246_g4	"Signal transduction mechanisms"
c470741_g1	"Signal transduction mechanisms"
c445448_g1	"Posttranslational modification, protein turnover, chaperones"
c470602_g4	"Lipid transport and metabolism"
c448744_g1	"Transcription"
c441169_g3	"Carbohydrate transport and metabolism"
